id,title,topic_tags,difficulty,problem_URL,solution_URL
912,Sort an Array,"{Array,Divide and Conquer,Sorting,Heap (Priority Queue),Merge Sort,Bucket Sort,Radix Sort,Counting Sort}",Medium,https://leetcode.com/problems/sort-an-array,https://leetcode.com/problems/sort-an-array/solution
913,Cat and Mouse,"{Math,Dynamic Programming,Graph,Topological Sort,Memoization,Game Theory}",Hard,https://leetcode.com/problems/cat-and-mouse,https://leetcode.com/problems/cat-and-mouse/solution
914,X of a Kind in a Deck of Cards,"{Array,Hash Table,Math,Counting,Number Theory}",Easy,https://leetcode.com/problems/x-of-a-kind-in-a-deck-of-cards,https://leetcode.com/problems/x-of-a-kind-in-a-deck-of-cards/solution
915,Partition Array into Disjoint Intervals,{Array},Medium,https://leetcode.com/problems/partition-array-into-disjoint-intervals,https://leetcode.com/problems/partition-array-into-disjoint-intervals/solution
916,Word Subsets,"{Array,Hash Table,String}",Medium,https://leetcode.com/problems/word-subsets,https://leetcode.com/problems/word-subsets/solution
917,Reverse Only Letters,"{Two Pointers,String}",Easy,https://leetcode.com/problems/reverse-only-letters,https://leetcode.com/problems/reverse-only-letters/solution
918,Maximum Sum Circular Subarray,"{Array,Divide and Conquer,Dynamic Programming,Queue,Monotonic Queue}",Medium,https://leetcode.com/problems/maximum-sum-circular-subarray,https://leetcode.com/problems/maximum-sum-circular-subarray/solution
919,Complete Binary Tree Inserter,"{Tree,Breadth-First Search,Design,Binary Tree}",Medium,https://leetcode.com/problems/complete-binary-tree-inserter,https://leetcode.com/problems/complete-binary-tree-inserter/solution
920,Number of Music Playlists,"{Math,Dynamic Programming,Combinatorics}",Hard,https://leetcode.com/problems/number-of-music-playlists,https://leetcode.com/problems/number-of-music-playlists/solution
921,Minimum Add to Make Parentheses Valid,"{String,Stack,Greedy}",Medium,https://leetcode.com/problems/minimum-add-to-make-parentheses-valid,https://leetcode.com/problems/minimum-add-to-make-parentheses-valid/solution
922,Sort Array By Parity II,"{Array,Two Pointers,Sorting}",Easy,https://leetcode.com/problems/sort-array-by-parity-ii,https://leetcode.com/problems/sort-array-by-parity-ii/solution
923,3Sum With Multiplicity,"{Array,Hash Table,Two Pointers,Sorting,Counting}",Medium,https://leetcode.com/problems/3sum-with-multiplicity,https://leetcode.com/problems/3sum-with-multiplicity/solution
924,Minimize Malware Spread,"{Hash Table,Depth-First Search,Breadth-First Search,Union Find,Graph}",Hard,https://leetcode.com/problems/minimize-malware-spread,https://leetcode.com/problems/minimize-malware-spread/solution
925,Long Pressed Name,"{Two Pointers,String}",Easy,https://leetcode.com/problems/long-pressed-name,https://leetcode.com/problems/long-pressed-name/solution
926,Flip String to Monotone Increasing,"{String,Dynamic Programming}",Medium,https://leetcode.com/problems/flip-string-to-monotone-increasing,https://leetcode.com/problems/flip-string-to-monotone-increasing/solution
927,Three Equal Parts,"{Array,Math}",Hard,https://leetcode.com/problems/three-equal-parts,https://leetcode.com/problems/three-equal-parts/solution
928,Minimize Malware Spread II,"{Hash Table,Depth-First Search,Breadth-First Search,Union Find,Graph}",Hard,https://leetcode.com/problems/minimize-malware-spread-ii,https://leetcode.com/problems/minimize-malware-spread-ii/solution
929,Unique Email Addresses,"{Array,Hash Table,String}",Easy,https://leetcode.com/problems/unique-email-addresses,https://leetcode.com/problems/unique-email-addresses/solution
930,Binary Subarrays With Sum,"{Array,Hash Table,Sliding Window,Prefix Sum}",Medium,https://leetcode.com/problems/binary-subarrays-with-sum,https://leetcode.com/problems/binary-subarrays-with-sum/solution
931,Minimum Falling Path Sum,"{Array,Dynamic Programming,Matrix}",Medium,https://leetcode.com/problems/minimum-falling-path-sum,https://leetcode.com/problems/minimum-falling-path-sum/solution
932,Beautiful Array,"{Array,Math,Divide and Conquer}",Medium,https://leetcode.com/problems/beautiful-array,https://leetcode.com/problems/beautiful-array/solution
933,Number of Recent Calls,"{Design,Queue,Data Stream}",Easy,https://leetcode.com/problems/number-of-recent-calls,https://leetcode.com/problems/number-of-recent-calls/solution
934,Shortest Bridge,"{Array,Depth-First Search,Breadth-First Search,Matrix}",Medium,https://leetcode.com/problems/shortest-bridge,https://leetcode.com/problems/shortest-bridge/solution
935,Knight Dialer,{Dynamic Programming},Medium,https://leetcode.com/problems/knight-dialer,https://leetcode.com/problems/knight-dialer/solution
936,Stamping The Sequence,"{String,Stack,Greedy,Queue}",Hard,https://leetcode.com/problems/stamping-the-sequence,https://leetcode.com/problems/stamping-the-sequence/solution
937,Reorder Data in Log Files,"{Array,String,Sorting}",Medium,https://leetcode.com/problems/reorder-data-in-log-files,https://leetcode.com/problems/reorder-data-in-log-files/solution
938,Range Sum of BST,"{Tree,Depth-First Search,Binary Search Tree,Binary Tree}",Easy,https://leetcode.com/problems/range-sum-of-bst,https://leetcode.com/problems/range-sum-of-bst/solution
939,Minimum Area Rectangle,"{Array,Hash Table,Math,Geometry,Sorting}",Medium,https://leetcode.com/problems/minimum-area-rectangle,https://leetcode.com/problems/minimum-area-rectangle/solution
940,Distinct Subsequences II,"{String,Dynamic Programming}",Hard,https://leetcode.com/problems/distinct-subsequences-ii,https://leetcode.com/problems/distinct-subsequences-ii/solution
941,Valid Mountain Array,{Array},Easy,https://leetcode.com/problems/valid-mountain-array,https://leetcode.com/problems/valid-mountain-array/solution
942,DI String Match,"{Array,Two Pointers,String,Greedy}",Easy,https://leetcode.com/problems/di-string-match,https://leetcode.com/problems/di-string-match/solution
943,Find the Shortest Superstring,"{Array,String,Dynamic Programming,Bit Manipulation,Bitmask}",Hard,https://leetcode.com/problems/find-the-shortest-superstring,https://leetcode.com/problems/find-the-shortest-superstring/solution
944,Delete Columns to Make Sorted,"{Array,String}",Easy,https://leetcode.com/problems/delete-columns-to-make-sorted,https://leetcode.com/problems/delete-columns-to-make-sorted/solution
945,Minimum Increment to Make Array Unique,"{Array,Greedy,Sorting,Counting}",Medium,https://leetcode.com/problems/minimum-increment-to-make-array-unique,https://leetcode.com/problems/minimum-increment-to-make-array-unique/solution
946,Validate Stack Sequences,"{Array,Stack,Simulation}",Medium,https://leetcode.com/problems/validate-stack-sequences,https://leetcode.com/problems/validate-stack-sequences/solution
947,Most Stones Removed with Same Row or Column,"{Hash Table,Depth-First Search,Union Find,Graph}",Medium,https://leetcode.com/problems/most-stones-removed-with-same-row-or-column,https://leetcode.com/problems/most-stones-removed-with-same-row-or-column/solution
948,Bag of Tokens,"{Array,Two Pointers,Greedy,Sorting}",Medium,https://leetcode.com/problems/bag-of-tokens,https://leetcode.com/problems/bag-of-tokens/solution
949,Largest Time for Given Digits,"{String,Enumeration}",Medium,https://leetcode.com/problems/largest-time-for-given-digits,https://leetcode.com/problems/largest-time-for-given-digits/solution
950,Reveal Cards In Increasing Order,"{Array,Queue,Sorting,Simulation}",Medium,https://leetcode.com/problems/reveal-cards-in-increasing-order,https://leetcode.com/problems/reveal-cards-in-increasing-order/solution
951,Flip Equivalent Binary Trees,"{Tree,Depth-First Search,Binary Tree}",Medium,https://leetcode.com/problems/flip-equivalent-binary-trees,https://leetcode.com/problems/flip-equivalent-binary-trees/solution
952,Largest Component Size by Common Factor,"{Array,Hash Table,Math,Union Find,Number Theory}",Hard,https://leetcode.com/problems/largest-component-size-by-common-factor,https://leetcode.com/problems/largest-component-size-by-common-factor/solution
953,Verifying an Alien Dictionary,"{Array,Hash Table,String}",Easy,https://leetcode.com/problems/verifying-an-alien-dictionary,https://leetcode.com/problems/verifying-an-alien-dictionary/solution
954,Array of Doubled Pairs,"{Array,Hash Table,Greedy,Sorting}",Medium,https://leetcode.com/problems/array-of-doubled-pairs,https://leetcode.com/problems/array-of-doubled-pairs/solution
955,Delete Columns to Make Sorted II,"{Array,String,Greedy}",Medium,https://leetcode.com/problems/delete-columns-to-make-sorted-ii,https://leetcode.com/problems/delete-columns-to-make-sorted-ii/solution
956,Tallest Billboard,"{Array,Dynamic Programming}",Hard,https://leetcode.com/problems/tallest-billboard,https://leetcode.com/problems/tallest-billboard/solution
957,Prison Cells After N Days,"{Array,Hash Table,Math,Bit Manipulation}",Medium,https://leetcode.com/problems/prison-cells-after-n-days,https://leetcode.com/problems/prison-cells-after-n-days/solution
958,Check Completeness of a Binary Tree,"{Tree,Breadth-First Search,Binary Tree}",Medium,https://leetcode.com/problems/check-completeness-of-a-binary-tree,https://leetcode.com/problems/check-completeness-of-a-binary-tree/solution
959,Regions Cut By Slashes,"{Array,Hash Table,Depth-First Search,Breadth-First Search,Union Find,Matrix}",Medium,https://leetcode.com/problems/regions-cut-by-slashes,https://leetcode.com/problems/regions-cut-by-slashes/solution
960,Delete Columns to Make Sorted III,"{Array,String,Dynamic Programming}",Hard,https://leetcode.com/problems/delete-columns-to-make-sorted-iii,https://leetcode.com/problems/delete-columns-to-make-sorted-iii/solution
961,N-Repeated Element in Size 2N Array,"{Array,Hash Table}",Easy,https://leetcode.com/problems/n-repeated-element-in-size-2n-array,https://leetcode.com/problems/n-repeated-element-in-size-2n-array/solution
962,Maximum Width Ramp,"{Array,Stack,Monotonic Stack}",Medium,https://leetcode.com/problems/maximum-width-ramp,https://leetcode.com/problems/maximum-width-ramp/solution
963,Minimum Area Rectangle II,"{Array,Math,Geometry}",Medium,https://leetcode.com/problems/minimum-area-rectangle-ii,https://leetcode.com/problems/minimum-area-rectangle-ii/solution
964,Least Operators to Express Number,"{Math,Dynamic Programming,Memoization}",Hard,https://leetcode.com/problems/least-operators-to-express-number,https://leetcode.com/problems/least-operators-to-express-number/solution
965,Univalued Binary Tree,"{Tree,Depth-First Search,Breadth-First Search,Binary Tree}",Easy,https://leetcode.com/problems/univalued-binary-tree,https://leetcode.com/problems/univalued-binary-tree/solution
966,Vowel Spellchecker,"{Array,Hash Table,String}",Medium,https://leetcode.com/problems/vowel-spellchecker,https://leetcode.com/problems/vowel-spellchecker/solution
967,Numbers With Same Consecutive Differences,"{Backtracking,Breadth-First Search}",Medium,https://leetcode.com/problems/numbers-with-same-consecutive-differences,https://leetcode.com/problems/numbers-with-same-consecutive-differences/solution
968,Binary Tree Cameras,"{Dynamic Programming,Tree,Depth-First Search,Binary Tree}",Hard,https://leetcode.com/problems/binary-tree-cameras,https://leetcode.com/problems/binary-tree-cameras/solution
969,Pancake Sorting,"{Array,Two Pointers,Greedy,Sorting}",Medium,https://leetcode.com/problems/pancake-sorting,https://leetcode.com/problems/pancake-sorting/solution
970,Powerful Integers,"{Hash Table,Math}",Medium,https://leetcode.com/problems/powerful-integers,https://leetcode.com/problems/powerful-integers/solution
971,Flip Binary Tree To Match Preorder Traversal,"{Tree,Depth-First Search,Binary Tree}",Medium,https://leetcode.com/problems/flip-binary-tree-to-match-preorder-traversal,https://leetcode.com/problems/flip-binary-tree-to-match-preorder-traversal/solution
972,Equal Rational Numbers,"{Math,String}",Hard,https://leetcode.com/problems/equal-rational-numbers,https://leetcode.com/problems/equal-rational-numbers/solution
973,K Closest Points to Origin,"{Array,Math,Divide and Conquer,Geometry,Sorting,Heap (Priority Queue),Quickselect}",Medium,https://leetcode.com/problems/k-closest-points-to-origin,https://leetcode.com/problems/k-closest-points-to-origin/solution
974,Subarray Sums Divisible by K,"{Array,Hash Table,Prefix Sum}",Medium,https://leetcode.com/problems/subarray-sums-divisible-by-k,https://leetcode.com/problems/subarray-sums-divisible-by-k/solution
975,Odd Even Jump,"{Array,Dynamic Programming,Stack,Monotonic Stack,Ordered Set}",Hard,https://leetcode.com/problems/odd-even-jump,https://leetcode.com/problems/odd-even-jump/solution
976,Largest Perimeter Triangle,"{Array,Math,Greedy,Sorting}",Easy,https://leetcode.com/problems/largest-perimeter-triangle,https://leetcode.com/problems/largest-perimeter-triangle/solution
977,Squares of a Sorted Array,"{Array,Two Pointers,Sorting}",Easy,https://leetcode.com/problems/squares-of-a-sorted-array,https://leetcode.com/problems/squares-of-a-sorted-array/solution
978,Longest Turbulent Subarray,"{Array,Dynamic Programming,Sliding Window}",Medium,https://leetcode.com/problems/longest-turbulent-subarray,https://leetcode.com/problems/longest-turbulent-subarray/solution
979,Distribute Coins in Binary Tree,"{Tree,Depth-First Search,Binary Tree}",Medium,https://leetcode.com/problems/distribute-coins-in-binary-tree,https://leetcode.com/problems/distribute-coins-in-binary-tree/solution
980,Unique Paths III,"{Array,Backtracking,Bit Manipulation,Matrix}",Hard,https://leetcode.com/problems/unique-paths-iii,https://leetcode.com/problems/unique-paths-iii/solution
981,Time Based Key-Value Store,"{Hash Table,String,Binary Search,Design}",Medium,https://leetcode.com/problems/time-based-key-value-store,https://leetcode.com/problems/time-based-key-value-store/solution
982,Triples with Bitwise AND Equal To Zero,"{Array,Hash Table,Bit Manipulation}",Hard,https://leetcode.com/problems/triples-with-bitwise-and-equal-to-zero,https://leetcode.com/problems/triples-with-bitwise-and-equal-to-zero/solution
983,Minimum Cost For Tickets,"{Array,Dynamic Programming}",Medium,https://leetcode.com/problems/minimum-cost-for-tickets,https://leetcode.com/problems/minimum-cost-for-tickets/solution
984,String Without AAA or BBB,"{String,Greedy}",Medium,https://leetcode.com/problems/string-without-aaa-or-bbb,https://leetcode.com/problems/string-without-aaa-or-bbb/solution
985,Sum of Even Numbers After Queries,"{Array,Simulation}",Medium,https://leetcode.com/problems/sum-of-even-numbers-after-queries,https://leetcode.com/problems/sum-of-even-numbers-after-queries/solution
986,Interval List Intersections,"{Array,Two Pointers}",Medium,https://leetcode.com/problems/interval-list-intersections,https://leetcode.com/problems/interval-list-intersections/solution
987,Vertical Order Traversal of a Binary Tree,"{Hash Table,Tree,Depth-First Search,Breadth-First Search,Binary Tree}",Hard,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree/solution
988,Smallest String Starting From Leaf,"{String,Tree,Depth-First Search,Binary Tree}",Medium,https://leetcode.com/problems/smallest-string-starting-from-leaf,https://leetcode.com/problems/smallest-string-starting-from-leaf/solution
989,Add to Array-Form of Integer,"{Array,Math}",Easy,https://leetcode.com/problems/add-to-array-form-of-integer,https://leetcode.com/problems/add-to-array-form-of-integer/solution
990,Satisfiability of Equality Equations,"{Array,String,Union Find,Graph}",Medium,https://leetcode.com/problems/satisfiability-of-equality-equations,https://leetcode.com/problems/satisfiability-of-equality-equations/solution
991,Broken Calculator,"{Math,Greedy}",Medium,https://leetcode.com/problems/broken-calculator,https://leetcode.com/problems/broken-calculator/solution
992,Subarrays with K Different Integers,"{Array,Hash Table,Sliding Window,Counting}",Hard,https://leetcode.com/problems/subarrays-with-k-different-integers,https://leetcode.com/problems/subarrays-with-k-different-integers/solution
993,Cousins in Binary Tree,"{Tree,Depth-First Search,Breadth-First Search,Binary Tree}",Easy,https://leetcode.com/problems/cousins-in-binary-tree,https://leetcode.com/problems/cousins-in-binary-tree/solution
994,Rotting Oranges,"{Array,Breadth-First Search,Matrix}",Medium,https://leetcode.com/problems/rotting-oranges,https://leetcode.com/problems/rotting-oranges/solution
995,Minimum Number of K Consecutive Bit Flips,"{Array,Bit Manipulation,Queue,Sliding Window,Prefix Sum}",Hard,https://leetcode.com/problems/minimum-number-of-k-consecutive-bit-flips,https://leetcode.com/problems/minimum-number-of-k-consecutive-bit-flips/solution
996,Number of Squareful Arrays,"{Array,Math,Dynamic Programming,Backtracking,Bit Manipulation,Bitmask}",Hard,https://leetcode.com/problems/number-of-squareful-arrays,https://leetcode.com/problems/number-of-squareful-arrays/solution
997,Find the Town Judge,"{Array,Hash Table,Graph}",Easy,https://leetcode.com/problems/find-the-town-judge,https://leetcode.com/problems/find-the-town-judge/solution
998,Maximum Binary Tree II,"{Tree,Binary Tree}",Medium,https://leetcode.com/problems/maximum-binary-tree-ii,https://leetcode.com/problems/maximum-binary-tree-ii/solution
999,Available Captures for Rook,"{Array,Matrix,Simulation}",Easy,https://leetcode.com/problems/available-captures-for-rook,https://leetcode.com/problems/available-captures-for-rook/solution
1000,Minimum Cost to Merge Stones,"{Array,Dynamic Programming,Prefix Sum}",Hard,https://leetcode.com/problems/minimum-cost-to-merge-stones,https://leetcode.com/problems/minimum-cost-to-merge-stones/solution
1001,Grid Illumination,"{Array,Hash Table}",Hard,https://leetcode.com/problems/grid-illumination,https://leetcode.com/problems/grid-illumination/solution
1002,Find Common Characters,"{Array,Hash Table,String}",Easy,https://leetcode.com/problems/find-common-characters,https://leetcode.com/problems/find-common-characters/solution
1003,Check If Word Is Valid After Substitutions,"{String,Stack}",Medium,https://leetcode.com/problems/check-if-word-is-valid-after-substitutions,https://leetcode.com/problems/check-if-word-is-valid-after-substitutions/solution
1004,Max Consecutive Ones III,"{Array,Binary Search,Sliding Window,Prefix Sum}",Medium,https://leetcode.com/problems/max-consecutive-ones-iii,https://leetcode.com/problems/max-consecutive-ones-iii/solution
1005,Maximize Sum Of Array After K Negations,"{Array,Greedy,Sorting}",Easy,https://leetcode.com/problems/maximize-sum-of-array-after-k-negations,https://leetcode.com/problems/maximize-sum-of-array-after-k-negations/solution
1006,Clumsy Factorial,"{Math,Stack,Simulation}",Medium,https://leetcode.com/problems/clumsy-factorial,https://leetcode.com/problems/clumsy-factorial/solution
1007,Minimum Domino Rotations For Equal Row,"{Array,Greedy}",Medium,https://leetcode.com/problems/minimum-domino-rotations-for-equal-row,https://leetcode.com/problems/minimum-domino-rotations-for-equal-row/solution
1008,Construct Binary Search Tree from Preorder Traversal,"{Array,Stack,Tree,Binary Search Tree,Monotonic Stack,Binary Tree}",Medium,https://leetcode.com/problems/construct-binary-search-tree-from-preorder-traversal,https://leetcode.com/problems/construct-binary-search-tree-from-preorder-traversal/solution
1009,Complement of Base 10 Integer,{Bit Manipulation},Easy,https://leetcode.com/problems/complement-of-base-10-integer,https://leetcode.com/problems/complement-of-base-10-integer/solution
1010,Pairs of Songs With Total Durations Divisible by 60,"{Array,Hash Table,Counting}",Medium,https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60,https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60/solution
1011,Capacity To Ship Packages Within D Days,"{Array,Binary Search}",Medium,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days/solution
1012,Numbers With Repeated Digits,"{Math,Dynamic Programming}",Hard,https://leetcode.com/problems/numbers-with-repeated-digits,https://leetcode.com/problems/numbers-with-repeated-digits/solution
1013,Partition Array Into Three Parts With Equal Sum,"{Array,Greedy}",Easy,https://leetcode.com/problems/partition-array-into-three-parts-with-equal-sum,https://leetcode.com/problems/partition-array-into-three-parts-with-equal-sum/solution
1014,Best Sightseeing Pair,"{Array,Dynamic Programming}",Medium,https://leetcode.com/problems/best-sightseeing-pair,https://leetcode.com/problems/best-sightseeing-pair/solution
1015,Smallest Integer Divisible by K,"{Hash Table,Math}",Medium,https://leetcode.com/problems/smallest-integer-divisible-by-k,https://leetcode.com/problems/smallest-integer-divisible-by-k/solution
1016,Binary String With Substrings Representing 1 To N,{String},Medium,https://leetcode.com/problems/binary-string-with-substrings-representing-1-to-n,https://leetcode.com/problems/binary-string-with-substrings-representing-1-to-n/solution
1017,Convert to Base -2,{Math},Medium,https://leetcode.com/problems/convert-to-base-2,https://leetcode.com/problems/convert-to-base-2/solution
1018,Binary Prefix Divisible By 5,{Array},Easy,https://leetcode.com/problems/binary-prefix-divisible-by-5,https://leetcode.com/problems/binary-prefix-divisible-by-5/solution
1019,Next Greater Node In Linked List,"{Array,Linked List,Stack,Monotonic Stack}",Medium,https://leetcode.com/problems/next-greater-node-in-linked-list,https://leetcode.com/problems/next-greater-node-in-linked-list/solution
1020,Number of Enclaves,"{Array,Depth-First Search,Breadth-First Search,Union Find,Matrix}",Medium,https://leetcode.com/problems/number-of-enclaves,https://leetcode.com/problems/number-of-enclaves/solution
1021,Remove Outermost Parentheses,"{String,Stack}",Easy,https://leetcode.com/problems/remove-outermost-parentheses,https://leetcode.com/problems/remove-outermost-parentheses/solution
1022,Sum of Root To Leaf Binary Numbers,"{Tree,Depth-First Search,Binary Tree}",Easy,https://leetcode.com/problems/sum-of-root-to-leaf-binary-numbers,https://leetcode.com/problems/sum-of-root-to-leaf-binary-numbers/solution
1023,Camelcase Matching,"{Two Pointers,String,Trie,String Matching}",Medium,https://leetcode.com/problems/camelcase-matching,https://leetcode.com/problems/camelcase-matching/solution
1024,Video Stitching,"{Array,Dynamic Programming,Greedy}",Medium,https://leetcode.com/problems/video-stitching,https://leetcode.com/problems/video-stitching/solution
1025,Divisor Game,"{Math,Dynamic Programming,Brainteaser,Game Theory}",Easy,https://leetcode.com/problems/divisor-game,https://leetcode.com/problems/divisor-game/solution
1026,Maximum Difference Between Node and Ancestor,"{Tree,Depth-First Search,Binary Tree}",Medium,https://leetcode.com/problems/maximum-difference-between-node-and-ancestor,https://leetcode.com/problems/maximum-difference-between-node-and-ancestor/solution
1027,Longest Arithmetic Subsequence,"{Array,Hash Table,Binary Search,Dynamic Programming}",Medium,https://leetcode.com/problems/longest-arithmetic-subsequence,https://leetcode.com/problems/longest-arithmetic-subsequence/solution
1028,Recover a Tree From Preorder Traversal,"{String,Tree,Depth-First Search,Binary Tree}",Hard,https://leetcode.com/problems/recover-a-tree-from-preorder-traversal,https://leetcode.com/problems/recover-a-tree-from-preorder-traversal/solution
1029,Two City Scheduling,"{Array,Greedy,Sorting}",Medium,https://leetcode.com/problems/two-city-scheduling,https://leetcode.com/problems/two-city-scheduling/solution
1030,Matrix Cells in Distance Order,"{Array,Math,Geometry,Sorting,Matrix}",Easy,https://leetcode.com/problems/matrix-cells-in-distance-order,https://leetcode.com/problems/matrix-cells-in-distance-order/solution
1031,Maximum Sum of Two Non-Overlapping Subarrays,"{Array,Dynamic Programming,Sliding Window}",Medium,https://leetcode.com/problems/maximum-sum-of-two-non-overlapping-subarrays,https://leetcode.com/problems/maximum-sum-of-two-non-overlapping-subarrays/solution
1032,Stream of Characters,"{Array,String,Design,Trie,Data Stream}",Hard,https://leetcode.com/problems/stream-of-characters,https://leetcode.com/problems/stream-of-characters/solution
1033,Moving Stones Until Consecutive,"{Math,Brainteaser}",Medium,https://leetcode.com/problems/moving-stones-until-consecutive,https://leetcode.com/problems/moving-stones-until-consecutive/solution
1034,Coloring A Border,"{Array,Depth-First Search,Breadth-First Search,Matrix}",Medium,https://leetcode.com/problems/coloring-a-border,https://leetcode.com/problems/coloring-a-border/solution
1035,Uncrossed Lines,"{Array,Dynamic Programming}",Medium,https://leetcode.com/problems/uncrossed-lines,https://leetcode.com/problems/uncrossed-lines/solution
1036,Escape a Large Maze,"{Array,Hash Table,Depth-First Search,Breadth-First Search}",Hard,https://leetcode.com/problems/escape-a-large-maze,https://leetcode.com/problems/escape-a-large-maze/solution
1037,Valid Boomerang,"{Array,Math,Geometry}",Easy,https://leetcode.com/problems/valid-boomerang,https://leetcode.com/problems/valid-boomerang/solution
1038,Binary Search Tree to Greater Sum Tree,"{Tree,Depth-First Search,Binary Search Tree,Binary Tree}",Medium,https://leetcode.com/problems/binary-search-tree-to-greater-sum-tree,https://leetcode.com/problems/binary-search-tree-to-greater-sum-tree/solution
1039,Minimum Score Triangulation of Polygon,"{Array,Dynamic Programming}",Medium,https://leetcode.com/problems/minimum-score-triangulation-of-polygon,https://leetcode.com/problems/minimum-score-triangulation-of-polygon/solution
1040,Moving Stones Until Consecutive II,"{Array,Math,Two Pointers,Sorting}",Medium,https://leetcode.com/problems/moving-stones-until-consecutive-ii,https://leetcode.com/problems/moving-stones-until-consecutive-ii/solution
1041,Robot Bounded In Circle,"{Math,String,Simulation}",Medium,https://leetcode.com/problems/robot-bounded-in-circle,https://leetcode.com/problems/robot-bounded-in-circle/solution
1042,Flower Planting With No Adjacent,"{Depth-First Search,Breadth-First Search,Graph}",Medium,https://leetcode.com/problems/flower-planting-with-no-adjacent,https://leetcode.com/problems/flower-planting-with-no-adjacent/solution
1043,Partition Array for Maximum Sum,"{Array,Dynamic Programming}",Medium,https://leetcode.com/problems/partition-array-for-maximum-sum,https://leetcode.com/problems/partition-array-for-maximum-sum/solution
1044,Longest Duplicate Substring,"{String,Binary Search,Sliding Window,Rolling Hash,Suffix Array,Hash Function}",Hard,https://leetcode.com/problems/longest-duplicate-substring,https://leetcode.com/problems/longest-duplicate-substring/solution
1045,Customers Who Bought All Products,{Database},Medium,https://leetcode.com/problems/customers-who-bought-all-products,https://leetcode.com/problems/customers-who-bought-all-products/solution
1046,Last Stone Weight,"{Array,Heap (Priority Queue)}",Easy,https://leetcode.com/problems/last-stone-weight,https://leetcode.com/problems/last-stone-weight/solution
1047,Remove All Adjacent Duplicates In String,"{String,Stack}",Easy,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string/solution
1048,Longest String Chain,"{Array,Hash Table,Two Pointers,String,Dynamic Programming}",Medium,https://leetcode.com/problems/longest-string-chain,https://leetcode.com/problems/longest-string-chain/solution
1049,Last Stone Weight II,"{Array,Dynamic Programming}",Medium,https://leetcode.com/problems/last-stone-weight-ii,https://leetcode.com/problems/last-stone-weight-ii/solution
1050,Actors and Directors Who Cooperated At Least Three Times,{Database},Easy,https://leetcode.com/problems/actors-and-directors-who-cooperated-at-least-three-times,https://leetcode.com/problems/actors-and-directors-who-cooperated-at-least-three-times/solution
1051,Height Checker,"{Array,Sorting,Counting Sort}",Easy,https://leetcode.com/problems/height-checker,https://leetcode.com/problems/height-checker/solution
1052,Grumpy Bookstore Owner,"{Array,Sliding Window}",Medium,https://leetcode.com/problems/grumpy-bookstore-owner,https://leetcode.com/problems/grumpy-bookstore-owner/solution
1053,Previous Permutation With One Swap,"{Array,Greedy}",Medium,https://leetcode.com/problems/previous-permutation-with-one-swap,https://leetcode.com/problems/previous-permutation-with-one-swap/solution
1054,Distant Barcodes,"{Array,Hash Table,Greedy,Sorting,Heap (Priority Queue),Counting}",Medium,https://leetcode.com/problems/distant-barcodes,https://leetcode.com/problems/distant-barcodes/solution
1055,Shortest Way to Form String,{},Medium,https://leetcode.com/problems/shortest-way-to-form-string,https://leetcode.com/problems/shortest-way-to-form-string/solution
1056,Confusing Number,{},Easy,https://leetcode.com/problems/confusing-number,https://leetcode.com/problems/confusing-number/solution
1057,Campus Bikes,{},Medium,https://leetcode.com/problems/campus-bikes,https://leetcode.com/problems/campus-bikes/solution
1058,Minimize Rounding Error to Meet Target,{},Medium,https://leetcode.com/problems/minimize-rounding-error-to-meet-target,https://leetcode.com/problems/minimize-rounding-error-to-meet-target/solution
1059,All Paths from Source Lead to Destination,{},Medium,https://leetcode.com/problems/all-paths-from-source-lead-to-destination,https://leetcode.com/problems/all-paths-from-source-lead-to-destination/solution
1060,Missing Element in Sorted Array,{},Medium,https://leetcode.com/problems/missing-element-in-sorted-array,https://leetcode.com/problems/missing-element-in-sorted-array/solution
1061,Lexicographically Smallest Equivalent String,"{String,Union Find}",Medium,https://leetcode.com/problems/lexicographically-smallest-equivalent-string,https://leetcode.com/problems/lexicographically-smallest-equivalent-string/solution
1062,Longest Repeating Substring,{},Medium,https://leetcode.com/problems/longest-repeating-substring,https://leetcode.com/problems/longest-repeating-substring/solution
1063,Number of Valid Subarrays,{},Hard,https://leetcode.com/problems/number-of-valid-subarrays,https://leetcode.com/problems/number-of-valid-subarrays/solution
1064,Fixed Point,{},Easy,https://leetcode.com/problems/fixed-point,https://leetcode.com/problems/fixed-point/solution
1065,Index Pairs of a String,{},Easy,https://leetcode.com/problems/index-pairs-of-a-string,https://leetcode.com/problems/index-pairs-of-a-string/solution
1066,Campus Bikes II,{},Medium,https://leetcode.com/problems/campus-bikes-ii,https://leetcode.com/problems/campus-bikes-ii/solution
1067,Digit Count in Range,{},Hard,https://leetcode.com/problems/digit-count-in-range,https://leetcode.com/problems/digit-count-in-range/solution
